Model,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std
Logistic Regression,0.9209401709401709,0.06288008106650497,1.0,0.0,0.9141414141414143,0.06813503819814161,0.9538239538239539,0.03712750456065978
SVM,0.9209401709401709,0.0030218238512246037,0.9209401709401709,0.0030218238512246037,1.0,0.0,0.9588405797101448,0.001639667898403558
KNN,0.9465811965811967,0.037863344330490066,1.0,0.0,0.9419191919191919,0.041185622298737616,0.9696342305037957,0.021538283691272933
Decision Tree,0.8952991452991452,0.03484937271431644,0.9722222222222222,0.039283710065919325,0.9166666666666666,0.06804138174397716,0.9407114624505928,0.022359107705503506
Random Forest,0.9465811965811967,0.037863344330490066,0.9465811965811967,0.037863344330490066,1.0,0.0,0.9721739130434782,0.019727187857592525
XGBoost,0.9209401709401709,0.0030218238512246037,0.9465811965811967,0.037863344330490066,0.9722222222222222,0.039283710065919325,0.9576811594202899,0.0016396678984035582
